,Date,Round,Comment,Winner,Loser,MaxW,MaxL,ProbaWinner,ProbaLoser,PariW,PariL,Gains
110,01/06/13,3rd Round,Completed,Kirilenko M.,Voegele S.,1.25,5.5,0.051715414790687,0.948284585209313,0,1,-1
111,01/06/13,3rd Round,Completed,Hampton J.,Kvitova P.,3.55,1.4,0.357213675515777,0.642786324484223,0,0,0
112,01/06/13,3rd Round,Completed,Jankovic J.,Stosur S.,2.15,1.85,0.417809603952281,0.582190396047719,0,1,-1
113,02/06/13,4th Round,Completed,Kuznetsova S.,Kerber A.,2.29,1.81,0.542635818220293,0.457364181779707,1,0,1.29
114,02/06/13,4th Round,Completed,Williams S.,Vinci R.,1.04,27.78,0.883078093677268,0.116921906322732,0,0,0
115,02/06/13,4th Round,Completed,Errani S.,Suarez Navarro C.,1.25,5,0.730431834259778,0.269568165740222,0,0,0
116,02/06/13,4th Round,Completed,Radwanska A.,Ivanovic A.,1.85,2.38,0.276650393044573,0.723349606955427,0,1,-1
117,03/06/13,4th Round,Completed,Azarenka V.,Schiavone F.,1.18,6.7,0.731977263437953,0.268022736562047,0,0,0
118,03/06/13,4th Round,Completed,Kirilenko M.,Mattek-Sands B.,1.67,2.62,0.44441833685116,0.55558166314884,0,1,-1
119,03/06/13,4th Round,Completed,Sharapova M.,Stephens S.,1.11,9.8,0.936464069796756,0.0635359302032444,1,0,0.11
120,03/06/13,4th Round,Completed,Jankovic J.,Hampton J.,1.47,3.5,0.704018047111797,0.295981952888203,0,1,-1
121,04/06/13,Quarterfinals,Completed,Errani S.,Radwanska A.,2.58,1.68,0.567199738358211,0.432800261641789,1,0,1.58
122,04/06/13,Quarterfinals,Completed,Williams S.,Kuznetsova S.,1.07,15,0.919805497742646,0.0801945022573545,0,0,0
123,05/06/13,Quarterfinals,Completed,Sharapova M.,Jankovic J.,1.21,5.7,0.636445437098207,0.363554562901793,0,0,0
124,05/06/13,Quarterfinals,Completed,Azarenka V.,Kirilenko M.,1.18,7,0.645874563305012,0.354125436694988,0,0,0
125,06/06/13,Semifinals,Completed,Sharapova M.,Azarenka V.,1.94,2.08,0.631616342603481,0.368383657396519,1,0,0.94
126,06/06/13,Semifinals,Completed,Williams S.,Errani S.,1.09,11.75,0.834558879424517,0.165441120575483,0,0,0
127,08/06/13,The Final,Completed,Williams S.,Sharapova M.,1.22,6.38,0.757464207942052,0.242535792057948,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,ROI : 11 %,,,,
,,,,,,,,Accuracy : 73 %,,,,
,,,,,,,,52 % des paris gagnés,,,,
,,,,,,,,Nombre de paris : 46,,,,
