,Date,Round,Comment,Winner,Loser,MaxW,MaxL,ProbaWinner,ProbaLoser,PariW,PariL,Gains
118,21/01/13,4th Round,Completed,Azarenka V.,Vesnina E.,1.09,16,0.88443437504709,0.11556562495291,0,0,0
119,21/01/13,4th Round,Completed,Stephens S.,Jovanovski B.,1.33,4.5,0.673213660764672,0.326786339235328,0,0,0
120,21/01/13,4th Round,Completed,Williams S.,Kirilenko M.,1.05,19,0.729641428547535,0.270358571452465,0,0,0
121,22/01/13,Quarterfinals,Completed,Li N.,Radwanska A.,2.7,1.62,0.268325911569374,0.731674088430626,0,1,-1
122,22/01/13,Quarterfinals,Completed,Sharapova M.,Makarova E.,1.11,14,0.214046350711648,0.785953649288352,0,1,-1
123,23/01/13,Quarterfinals,Completed,Azarenka V.,Kuznetsova S.,1.15,8,0.844244888285589,0.155755111714411,0,0,0
124,23/01/13,Quarterfinals,Completed,Stephens S.,Williams S.,23,1.05,0.252789604598232,0.747210395401768,0,0,0
125,24/01/13,Semifinals,Completed,Li N.,Sharapova M.,4.65,1.33,0.425592436696143,0.574407563303857,0,0,0
126,24/01/13,Semifinals,Completed,Azarenka V.,Stephens S.,1.14,8,0.819017342202827,0.180982657797173,0,0,0
127,26/01/13,The Final,Completed,Azarenka V.,Li N.,1.85,2.42,0.84595327306635,0.15404672693365,1,0,0.85
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,ROI : 26 %,,,,
,,,,,,,,Accuracy : 72 %,,,,
,,,,,,,,56 % des paris remportés,,,,
